".","Parameters","Df","Chisq","Pr(>Chisq)","random.variance.metrics","Random_effect_var_explained_percent"
NA,"no_leaves",1,2.98045339858722,0.0842756612296521,NA,NA
NA,NA,NA,NA,NA,"Block","1.00393719497816e-07"
"M_tanacetaria_total",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plant_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + (1 | Block) + (1 | Plot_unique) + (1 | Motherplant)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,1.87419594392247,0.170995285546777,NA,NA
NA,"Shannon_Diversity_plant_perc",1,4.15140493044241,0.0415999943594891,NA,NA
NA,"highest_shoot_cm",1,0.0687452855005476,0.793172478956245,NA,NA
NA,"no_shoots_with_flowerbuds",1,0.111957965257735,0.737925937075564,NA,NA
NA,"number_shoots",1,0.00134014275105828,0.970797596452993,NA,NA
NA,"no_leaves",1,2.6189407882784,0.105594906100558,NA,NA
NA,NA,NA,NA,NA,"Block","17.7621059720141"
NA,NA,NA,NA,NA,"Plot_unique","14.0863471280014"
NA,NA,NA,NA,NA,"Motherplant","1.13979390582"
"M_tanacetaria_alate_presence",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plant_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + (1 | Block) + (1 | Plot_unique) + (1 | Motherplant)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,1.92371614800974,0.1654475726516,NA,NA
NA,"Shannon_Diversity_plant_perc",1,0.00301593152475849,0.956204191975667,NA,NA
NA,"highest_shoot_cm",1,1.45110154829256,0.228351281998573,NA,NA
NA,"no_shoots_with_flowerbuds",1,0.00130978569971774,0.971130092888201,NA,NA
NA,"number_shoots",1,1.87449741156612,0.170960873016747,NA,NA
NA,"no_leaves",1,0.000149244127394825,0.990252844726553,NA,NA
NA,NA,NA,NA,NA,"Block","8.04504251426812e-13"
NA,NA,NA,NA,NA,"Plot_unique","6.99071336016442"
NA,NA,NA,NA,NA,"Motherplant","4.75280636656807e-08"
"M_tanacetaria_total",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plot_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + (1 | Block)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,0.0810873212611858,0.775829279002238,NA,NA
NA,"Shannon_Diversity_plot_perc",1,0.148636376178499,0.699841906726061,NA,NA
NA,"highest_shoot_cm",1,3.1693953779313,0.0750302174927647,NA,NA
NA,"no_shoots_with_flowerbuds",1,3.93082187672124e-05,0.994997594438802,NA,NA
NA,"number_shoots",1,0.00377467688264739,0.951010072054697,NA,NA
NA,"no_leaves",1,0.445757673784969,0.504356482842257,NA,NA
NA,NA,NA,NA,NA,"Block","21.5021874485545"
"M_tanacetaria_alate_presence",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plot_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + (1 | Block)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,1.1396359527105,0.285729265676965,NA,NA
NA,"Shannon_Diversity_plot_perc",1,0.0375717926438008,0.846305514102267,NA,NA
NA,"highest_shoot_cm",1,0.0453982298603511,0.831273453003888,NA,NA
NA,"no_shoots_with_flowerbuds",1,1.85478465851452,0.173227934156891,NA,NA
NA,"number_shoots",1,0.534182125322181,0.464853894522963,NA,NA
NA,"no_leaves",1,2.17139486602199,0.14059865417447,NA,NA
NA,NA,NA,NA,NA,"Block","6.69498731687442"
