ID_unique,Plottype,Plant,Block,Plot,Position,Motherplant,Chemotype,Comp_ID,Comp_name,Peak_area,Percent,Norm_weight
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,51,unknown_sesquiterpenoid_8,223269,0.06571346,21263.71429
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,52,unknown_sesquiterpenoid_9,5329790,1.568685953,507599.0476
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,46,trans_pinocarvyl_acetate,0,0,0
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,26,verbenol,0,0,0
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,33,verbenyl_acetate_E,0,0,0
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,34,verbenyl_acetate_Z,0,0,0
1_10_1_09_041_HT,Heterogenous,09_041_B,1,10,1,9,ABThu,7,yomogi_alcohol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,42,cadinene_g,12193432,3.511520313,1108493.818
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,13,artemisia_alcohol,31260649,9.002584667,2841877.182
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,10,artemisia_ketone,157003826,45.21467986,14273075.09
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,22,artemisyl_acetate_b,7328715,2.110556863,666246.8182
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,28,borneol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,3,camphene,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,21,camphor,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,38,carvyl_acetate_Z,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,41,caryophyllene_b,616329,0.177493244,56029.90909
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,25,chrysanthenol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,17,chrysanthenone,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,35,chrysanthenyl_acetate_E,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,31,chrysanthenyl_acetate_Z,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,9,cineole_1_8,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,8,cymene_p,190786,0.054943425,17344.18182
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,39,eugenol,5895449,1.697798365,535949.9091
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,24,lavandulol,329754,0.094964065,29977.63636
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,6,myroxide_Z,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,20,neothujol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,2,pinene_a,201840,0.058126806,18349.09091
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,5,pinene_b,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,23,pinocarvone,352897,0.101628892,32081.54545
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,32,RI_1241_unknown,1723683,0.496394113,156698.4545
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,36,RI_1292_unknown,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,4,sabinene,2243594,0.646120461,203963.0909
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,37,sabinene_acetate_E,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,12,sabinene_hydrate_E,279989,0.080632513,25453.54545
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,14,sabinene_hydrate_Z,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,19,sabinol_Z,95030,0.027367174,8639.090909
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,1,santolina_triene,123184,0.035475092,11198.54545
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,11,terpinene_g,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,30,terpinenyl_1_4_acetate,28648,0.008250182,2604.363636
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,29,terpineol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,15,thujone_a,10402043,2.995627916,945640.2727
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,16,thujone_b,103879544,29.91570617,9443594.909
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,27,umbellulone,971,0.000279633,88.27272727
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,18,artemiseol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,49,epicubenol,178933,0.051529944,16266.63636
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,40,unknown_sesquiterpenoid_1,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,43,unknown_sesquiterpenoid_2,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,44,unknown_sesquiterpenoid_3,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,45,unknown_sesquiterpenoid_4,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,47,unknown_sesquiterpenoid_5,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,48,unknown_sesquiterpenoid_6,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,50,unknown_sesquiterpenoid_7,3723371,1.072273409,338488.2727
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,51,unknown_sesquiterpenoid_8,281548,0.081081481,25595.27273
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,52,unknown_sesquiterpenoid_9,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,46,trans_pinocarvyl_acetate,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,26,verbenol,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,33,verbenyl_acetate_E,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,34,verbenyl_acetate_Z,0,0,0
1_10_2_26_013_HT,Heterogenous,26_013_B,1,10,2,26,Keto,7,yomogi_alcohol,8906607,2.564965418,809691.5455
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,42,cadinene_g,12028000,11.96218097,1145523.81
