Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
6,7,2,24_049_B,BThu,55.8,3,0,0,64,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,3,07_038_B,Aacet,57,2,0,0,51,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,4,16_167_B,ABThu,59.2,6,3,4,42,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,7,5,14_015_B,Myrox,68.2,3,0,0,58,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,1,16_022_A,BThu,82.8,6,0,0,74,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,2,24_049_A,BThu,57.2,5,0,0,53,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,3,23_027_A,BThu,79.8,3,0,0,78,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,4,06_013_A,BThu,69.2,2,0,0,70,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,8,5,08_050_A,BThu,58.8,2,0,0,15,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,1,16_022_B,BThu,64.2,4,0,0,106,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,2,26_004_B,Keto,56.4,5,0,0,55,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,3,18_081_B,Myrox,36.8,2,0,0,26,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,4,22_029_B,Aacet,61.6,5,0,0,43,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,9,5,17_156_B,ABThu,58.4,4,0,0,68,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,1,09_035_A,ABThu,86.2,5,4,5,128,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,2,17_068_A,ABThu,59.8,4,0,0,79,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,3,29_160_A,ABThu,69.4,6,0,0,67,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,4,16_167_A,ABThu,76.6,4,13,13,91,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
6,10,5,17_156_A,ABThu,74.2,3,0,0,81,22.06.2021,"No. Leaves (Paul), Rest (Tobias)"
