Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
2,5,1,22_020_A,Myrox,65,4,0,0,54,21.06.2021,Steffi
2,5,2,14_014_A,Myrox,53,8,0,0,80,21.06.2021,Steffi
2,5,3,24_023_A,Myrox,49,3,0,0,56,21.06.2021,Steffi
2,5,4,26_152_A,Myrox,45,4,0,0,76,21.06.2021,Steffi
2,5,5,18_024_A,Myrox,43,3,0,0,59,21.06.2021,Steffi
2,6,1,09_027_B,ABThu,58.5,8,7,7,222,21.06.2021,Tanja
2,6,2,08_039_B,BThu,78,3,0,0,86,21.06.2021,Tanja
2,6,3,18_006_B,Keto,79.5,5,0,0,104,22.06.2021,Tanja
2,6,4,26_152_B,Myrox,82.5,5,0,0,90,22.06.2021,Tanja
2,6,5,16_063_B,Aacet,33,4,0,0,51,22.06.2021,Tanja
2,7,1,22_106_A,Aacet,82.5,5,0,0,103,22.06.2021,Tanja
2,7,2,16_021_A,Aacet,83,5,5,5,108,22.06.2021,Tanja
2,7,3,23_035_A,Aacet,73,6,0,0,90,22.06.2021,Tanja
2,7,4,07_011_A,Aacet,69,6,0,0,121,22.06.2021,Tanja
2,7,5,16_063_A,Aacet,54.5,3,0,0,23,22.06.2021,Tanja
2,8,1,22_106_B,Aacet,62,4,0,0,36,22.06.2021,Tanja
2,8,2,14_014_B,Myrox,59.5,6,0,0,63,22.06.2021,Tanja
2,8,3,30_020_B,BThu,69,3,0,0,19,22.06.2021,Tanja
2,8,4,17_040_B,ABThu,88.5,5,0,0,83,22.06.2021,Tanja
2,8,5,06_049_B,Keto,65,4,0,0,47,22.06.2021,Tanja
2,9,1,08_042_A,Keto,77.5,10,0,0,103,22.06.2021,Tanja
2,9,2,26_026_A,Keto,65.5,4,0,0,43,22.06.2021,Tanja
2,9,3,18_006_A,Keto,79,4,0,0,77,22.06.2021,Tanja
2,9,4,30_033_A,Keto,84.5,7,0,0,89,22.06.2021,Tanja
2,9,5,06_049_A,Keto,75,5,0,0,77,22.06.2021,Tanja
2,10,1,22_020_B,Myrox,68,5,0,0,69,22.06.2021,Tanja
2,10,2,16_021_B,Aacet,83,4,0,0,69,22.06.2021,Tanja
2,10,3,26_044_B,ABThu,45,3,0,0,48,22.06.2021,Tanja
2,10,4,30_033_B,Keto,76,3,0,0,87,22.06.2021,Tanja
2,10,5,17_043_B,BThu,69,9,0,0,109,22.06.2021,Tanja
3,1,1,22_012_A,Aacet,54,3,0,0,20,22.06.2021,Steffi
3,1,2,23_042_A,Aacet,68,6,4,4,110,22.06.2021,Steffi
3,1,3,16_040_A,Aacet,77,5,7,3,93,22.06.2021,Steffi
